Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
188;17;P19-032;A-M-HC;A-70-HC-FF-MSC;Calsonic / Marelli;Calsonic / Marelli;;2019-01;2019-01;PE-PP;130;47;;
189;80;P20-008;A-M-HC;A-70-HC-MSC-FF;Gizeh / Martiplast;Gizeh / Martiplast;;2020-01;2020-01;PE-PP;130;47;;
190;116;P20-041;A-M-HC;A-70-HC-RF-TB-MSC;Syncro USA;Syncro USA;;2021-01;2021-01;PE-PP;130;47;;
191;117;P20-038;A-M-HC;A-70-HC-RF-TB-MSC;Syncro USA;Syncro USA;;2021-01;2021-01;PE-PP;130;47;;
192;162;P21-035;A-M-HC;A-70-HC-RFTB-MSC-CE-480-3N;SY USA /ISOflex – Nashville, TN;SY USA /ISOflex – Nashville, TN;;2021-01;2021-01;PE-PP;130;47;;
193;163;P21-036;A-M-HC;A-70-HC-RFTB-MSC-CE-480-3N;SY USA /ISOflex;SY USA /ISOflex;;2021-01;2021-01;PE-PP;130;47;;
194;8;P19-003/P20-017;A-M-HC;A-70-HC-RF-MSC;Alpha Marathon;Alpha Marathon;;2019-01;2019-01;PE-PP;130;47;;
195;160;P21-030;A-L-HC;A-80-AC-TB-B&R-CE-4003N-NOSR;RKW Petersaurach;RKW Petersaurach;;2021-01;2021-01;PE-PP;160;68;;
196;118;P20-044;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Reko;Reko;;2021-01;2021-01;PE-PP;160;68;;
197;131;P21-012;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Wedus chemical;Wedus chemical;;2021-01;2021-01;PE-PP;160;68;;
198;159;P21-040;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Weener Plastics LTD;Weener Plastics LTD;;2021-01;2021-01;PE-PP;160;68;;
199;169;P21-046;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;UK EXTRUSION - PLASTIPAK;UK EXTRUSION - PLASTIPAK;;2022-01;2022-01;PE-PP;160;68;;
200;203;P22-021;A-L-HC;A-80-HC-FF-MSC-B&R-CE-4003N-NOSR;Heplast;Heplast;;2022-01;2022-01;PE-PP;160;68;;
201;85;P20-020;A-L-HC;A-80-HC-RF-TB-MSC-UL;Syncro USA /Berry Chino;Syncro USA /Berry Chino;;2020-01;2020-01;PE-PP;160;68;;
202;40;P19-068;A-S-PLUS;A-60-ECO;Trioplast France;Trioplast France;;2019-01;2019-01;PE-PP;90;33;;
203;26;P19-072;A-S-PLUS;A-60-ECO-RF-MSC;Plasmac;Plasmac;;2019-01;2019-01;PE-PP;90;33;;
